Job_company,job_url,job_position
Lalpurja Nepal,https://merojob.com/employer/lalpurja-nepal/,Sales and Marketing Execu…
Nydoz Innovations,https://merojob.com/employer/nydoz-innovation-pvtltd/,Supervisor
Hotel Monalisa,https://merojob.com/employer/hotel-monalisa-kathmandu/,Front Desk Manager
Quality Renewable Energy,https://merojob.com/employer/quality-renewable-energy-private-limited/,Electrical Engineer
Gcolite AAC Block,https://merojob.com/employer/ecolite-aac-block/,Sales Officer
Frontline Hospital,https://merojob.com/employer/nobel-hospital-private-limited/,Corporate Relationship Ma…
Storekeeper Assistant,https://merojob.com/storekeeper-assistant/, 
Mahendra Incorporation,https://merojob.com/employer/mahendra-incorporation/,Sales Officer
Mero Coding Class,https://merojob.com/employer/mero-coding-class/,Computer Teacher
Global Opportunities Nep…,https://merojob.com/employer/global-opportunities/,Academic Coordinator
Hotel Imperial Kathmandu,https://merojob.com/employer/imperial-lodge-private-limited/,Hotel Operation Manager
Consultant Abroad Educat…,https://merojob.com/employer/universal-visa-consultant-pvt-ltd/,Front Desk Officer ( Fres…
Unique Creation,https://merojob.com/employer/unique-creation/,HR Recruiter
Frontline Hospital,https://merojob.com/employer/nobel-hospital-private-limited/,OPD Coordinator
Samriddhi Finance Compan…,https://merojob.com/employer/samriddhi-finance-company-limited/,Assistant
VSO Nepal,https://merojob.com/employer/vso-nepal/,Team Leader (Contingent u…
WorldLink Communications,https://merojob.com/employer/worldlink-communications/,HR Administrative Assista…
Brihat Group,https://merojob.com/employer/brihat-group-2/,HR And Admin Officer
Foodmandu,https://merojob.com/employer/foodmandu/,Customer Service Represen…
GIZ,https://merojob.com/employer/giz/,Advisor
Canon Higher Secondary S…,https://merojob.com/employer/canon-higher-secondary-school/,Vice-Principal
Khajurico Nepal,https://merojob.com/employer/khajurico-nepal/,Accounts Manager
Logpoint Nepal,https://merojob.com/employer/logpoint-nepal/,Engineering Manager
Audit Partnership,https://merojob.com/employer/we-care-solution-pvt-ltd/,Analyst
Teach For Nepal,https://merojob.com/employer/teach-for-nepal/,Teach For Nepal Fellowshi…
RV Group,https://merojob.com/employer/rv-group/,Civil Engineer
ZTE Nepal,https://merojob.com/employer/zte-corporation-2/,Assistant Outsourcing Man…
CyberArrow,https://merojob.com/employer/cyberarrow-2/,Sr. Laravel Developer [Re…
Premier International Sc…,https://merojob.com/employer/premier-international-ib-world-school/,Mathematics Teacher
Thulo.Com,https://merojob.com/employer/thulocom/,B2B Marketing Manager (Di…
Blind Youth Association …,https://merojob.com/employer/blind-youth-association-nepal-byan/,Program Officer
KIZUNA GROUP,https://merojob.com/employer/kizuna-group/,Business Development Mana…
Agile Solutions,https://merojob.com/employer/agile-solutions/,Business Development Asso…
Muin International,https://merojob.com/employer/muin-international/,Senior Accountant
Hansikar Technologies,https://merojob.com/employer/hansikar-technologies-2/,Business Development Offi…
Hotel Sarowar,https://merojob.com/employer/swiss-international-hotel-sarowar-2/,Front Office Manager / Ex…
Sajilo Life,https://merojob.com/employer/sajilo-life-pvt-ltd/,"Lead Developer - Python, …"
Lucky Travels and Tours,https://merojob.com/employer/lucky-travels-and-tours/,Ticketing Officer
Web Trading Concern,https://merojob.com/employer/web-trading-concern-pvt-ltd/,Recovery Officer
Maulakalika Dairy,https://merojob.com/employer/maulakalika-dairy-pvt-ltd/,Accountant
Aspire Consultant,https://merojob.com/employer/aspire-consult-pvt-ltd/,Account Assistant
Flextecs Nepal,https://merojob.com/employer/flextecs-nepal/,Associate ETL Developer
Bright Path Education Co…,https://merojob.com/employer/bright-path-education/,IELTS / PTE Instructor
SK Ventures,https://merojob.com/employer/sk-ventures-pvt-ltd/,Accounts and Finance Offi…
Muin International,https://merojob.com/employer/muin-international/,Sales And Marketing Execu…
Rosebud School,https://merojob.com/employer/rosebud-school/,Primary English Teacher (…
Unigo Education Expert,https://merojob.com/employer/unigo-education-expert/,IELTS Instructor
Team Quest,https://merojob.com/employer/team-quest/,Duty Officer
Genius IB World School,https://merojob.com/employer/genius-school/,Pre-School Teacher
Heritage Educational Con…,https://merojob.com/employer/heritage-educational-consultancy/,Senior Counselor / Counse…
Texas Int'l Secondary Sc…,https://merojob.com/employer/texas-intl-secondary-school/,English Teacher (Middle S…
Sky Overseas Services,https://merojob.com/employer/sky-overseas-services/,Front Desk Officer
Evan Mens,https://merojob.com/employer/evan-mens/,IT Specialist
MiDas Technologies,https://merojob.com/employer/midas-technologies/,Frontend Developer
Godawari Business Organi…,https://merojob.com/employer/godawari-business-organization-pvt-ltd/,Account Officer
Himmalagari Travel and T…,https://merojob.com/employer/himmalagari-travel-and-tours/,Inbound Executive
Human Tree,https://merojob.com/employer/human-tree/,Sales And Marketing Offic…
NETTV,https://merojob.com/employer/nitv-streamz-pvt-ltd/,HR Officer
Hansikar Technologies,https://merojob.com/employer/hansikar-technologies-2/,Business Development Inte…
Danfe Works Enterprises …,https://merojob.com/employer/danfe-works-enterprises-nepal/,Quality Control and Opera…
Orange,https://merojob.com/employer/orange-pvt-ltd/,Sales and Marketing Execu…
Future Hub Pacific Asia,https://merojob.com/employer/future-hub-pacific-asia/,Accountant
Team Quest,https://merojob.com/employer/team-quest/,Projectionist
Green Suppliers,https://merojob.com/employer/green-suppliers-2/,Sales Executive
Samsara The Little School,https://merojob.com/employer/samsara-little-school/,Teacher
Nepal Development Resear…,https://merojob.com/employer/nepal-development-research-institute/,Admin And Finance Assista…
CE Construction,https://merojob.com/employer/ce-construction/,IT Technician
Newday Real Services,https://merojob.com/employer/team-up-pvt-ltd/,Admin Officer
Account Executive,https://merojob.com/account-executive-88/, 
Virtuals Aura,https://merojob.com/employer/virtuals-aura/,HR Manager (Recruitment a…
Accountant,https://merojob.com/accountant-3515/, 
A.S.T,https://merojob.com/employer/ast/,Billing Executive
newmew,https://merojob.com/employer/newmew/,PHP Developer
Kantipur Feed,https://merojob.com/employer/kantipur-feed-pvt-ltd/,Account Assistant
Desire Educational Consu…,https://merojob.com/employer/desire-educational-consultancy/,Japanese Language Teacher
Sharelook PTE,https://merojob.com/employer/sharelook-pte-ltd/,iOS Developer
Mentor Friends,https://merojob.com/employer/mentor-friends/,Full Stack Developer
MD Group,https://merojob.com/employer/md-group/,Senior Ticketing Officer
Research Associate (Water…,https://merojob.com/research-associate-water-resources-2/, 
Human Tree,https://merojob.com/employer/human-tree/,Civil Engineer Technical …
"Heritage Hotel, Suites a…",https://merojob.com/employer/heritage-hotel-suites-and-spa/,Sales And Marketing Execu…
Alaya,https://merojob.com/employer/hle-nepal/,Credit Analyst
Rohini Selection,https://merojob.com/employer/rohini-selection-private-limited/,Accountant
Bikash Surgical Concern,https://merojob.com/employer/bikash-surgical-concern-2/,Accountant
Cashier,https://merojob.com/cashier-275/, 
Grace Recruitment Partne…,https://merojob.com/employer/grace-recruitment-partners/,Technical Recruiter
eb5investors.com,https://merojob.com/employer/eb5investorscom/,Community / Investor Rela…
Alaya,https://merojob.com/employer/hle-nepal/,Loan Processing Associate
Music Nepal,https://merojob.com/employer/music-nepal/,Junior Finance Officer
Prosetech Solutions,https://merojob.com/employer/prosetech-solutions/,Sales Executive
Yes Education Group,https://merojob.com/employer/yes-education-group/,International Education A…
Nepal Bio Krishi Utpadha…,https://merojob.com/employer/nepal-bio-krishi-utpadhan-kendra-pvt-ltd/,Market Research Associate
Aakarshan International,https://merojob.com/employer/aakarshan-international/,Compliance Officer
VAJRATECH,https://merojob.com/employer/vajratech/,Software Engineer
Big Mart,https://merojob.com/employer/big-mart-2/,HR Admin Assistant
SK Ventures,https://merojob.com/employer/sk-ventures-pvt-ltd/,Chief Finance officer
Mega Cleaning Solution,https://merojob.com/employer/mega-cleaning-solution/,Administrative Officer
Sanima Hydro,https://merojob.com/employer/sanima-hydro/,Electrical Overseer
MiDas Technologies,https://merojob.com/employer/midas-technologies/,SQL Database Developer
Veritacore,https://merojob.com/employer/veritacore/,BIM MEP Modeling Speciali…
Global Dairy,https://merojob.com/employer/global-dairy/,Production Officer
Diyalo Technologies,https://merojob.com/employer/diyalo-technologies-pvt-ltd/,Laravel Developer
Mayahold,https://merojob.com/employer/mayahold/,Technical Writer - Electr…
Ishan Children and Women…,https://merojob.com/employer/ishan-hospital/,Consultant Radiologist
Tour Operator,https://merojob.com/tour-operator-36/, 
"Hotel Ambrosia, Charikot",https://merojob.com/employer/hotel-ambrosia-charikot/,Sales And Marketing Manag…
Tej And Karan Enterprises,https://merojob.com/employer/tej-and-karan-enterprises/,Sales Executive
Sharelook PTE,https://merojob.com/employer/sharelook-pte-ltd/,Data Science (AI Engineer)
Smarten Technologies,https://merojob.com/employer/smarten-technologies-pvt-ltd/,Functional Consultant ERP
Geo 3D Modelling Nepal,https://merojob.com/employer/geo-modelling-nepal/,Remote Sensing Analyst / …
Desire Educational Consu…,https://merojob.com/employer/desire-educational-consultancy/,Social Media Content Crea…
eb5investors.com,https://merojob.com/employer/eb5investorscom/,Community / Investor Rela…
Infinity Movies,https://merojob.com/employer/infinity-movies-pvt-ltd/,Accountant
Sync Technologies Inc,https://merojob.com/employer/sync-technologies-inc-pvt-ltd/,Sr.Angular Developer
Mountain Infra Company,https://merojob.com/employer/mountain-infra-company-pvt-ltd/,Account And Finance Manag…
Rasbita International Tr…,https://merojob.com/employer/rasbita-international-travel-tours/,Collection Officer
